Time,Absorption,Injection
01/01/2024 00:00,44.1,0
01/01/2024 00:15,45,0
01/01/2024 00:30,38.4,0
01/01/2024 00:45,39,0
01/01/2024 01:00,38.1,0
01/01/2024 01:15,36.9,0
01/01/2024 01:30,40.2,0
01/01/2024 01:45,38.1,0
01/01/2024 02:00,41.1,0
01/01/2024 02:15,38.7,0
01/01/2024 02:30,40.2,0
01/01/2024 02:45,55.5,0
01/01/2024 03:00,55.8,0
01/01/2024 03:15,56.1,0
01/01/2024 03:30,55.199,0
01/01/2024 03:45,55.2,0
01/01/2024 04:00,54,0
01/01/2024 04:15,63.9,0
01/01/2024 04:30,55.5,0
01/01/2024 04:45,54.9,0
01/01/2024 05:00,54.6,0
01/01/2024 05:15,55.2,0
01/01/2024 05:30,54.9,0
01/01/2024 05:45,56.4,0
01/01/2024 06:00,57.6,0
01/01/2024 06:15,57,0
01/01/2024 06:30,57.6,0
01/01/2024 06:45,58.8,0
01/01/2024 07:00,57.9,0
01/01/2024 07:15,57.3,0
01/01/2024 07:30,57.9,0
01/01/2024 07:45,56.7,0
01/01/2024 08:00,57,0
01/01/2024 08:15,55.5,0
01/01/2024 08:30,55.2,0
01/01/2024 08:45,51.9,0
01/01/2024 09:00,43.2,0
01/01/2024 09:15,36.3,0
01/01/2024 09:30,33.6,0
01/01/2024 09:45,30.3,0
01/01/2024 10:00,29.1,0
01/01/2024 10:15,25.8,0
01/01/2024 10:30,23.4,0
01/01/2024 10:45,19.2,0
01/01/2024 11:00,15.6,0
01/01/2024 11:15,12.6,0
01/01/2024 11:30,3,0
01/01/2024 11:45,6.6,0
01/01/2024 12:00,4.5,0
01/01/2024 12:15,12.6,0
01/01/2024 12:30,18.6,0
01/01/2024 12:45,13.8,0
01/01/2024 13:00,18,0
01/01/2024 13:15,12.6,0
01/01/2024 13:30,12.9,0
01/01/2024 13:45,19.2,0
01/01/2024 14:00,23.7,0
01/01/2024 14:15,30.3,0
01/01/2024 14:30,32.7,0
01/01/2024 14:45,31.8,0
01/01/2024 15:00,36,0
01/01/2024 15:15,37.5,0
01/01/2024 15:30,40.8,0
01/01/2024 15:45,45.6,0
01/01/2024 16:00,52.5,0
01/01/2024 16:15,49.8,0
01/01/2024 16:30,53.7,0
01/01/2024 16:45,55.5,0
01/01/2024 17:00,52.5,0
01/01/2024 17:15,55.5,0
01/01/2024 17:30,55.2,0
01/01/2024 17:45,55.2,0
01/01/2024 18:00,52.8,0
01/01/2024 18:15,54.3,0
01/01/2024 18:30,54.9,0
01/01/2024 18:45,54.3,0
01/01/2024 19:00,48.3,0
01/01/2024 19:15,48,0
01/01/2024 19:30,47.7,0
01/01/2024 19:45,48.6,0
01/01/2024 20:00,52.5,0
01/01/2024 20:15,49.5,0
01/01/2024 20:30,53.1,0
01/01/2024 20:45,49.8,0
01/01/2024 21:00,53.1,0
01/01/2024 21:15,49.5,0
01/01/2024 21:30,52.501,0
01/01/2024 21:45,50.1,0
01/01/2024 22:00,53.1,0
01/01/2024 22:15,50.1,0
01/01/2024 22:30,53.7,0
01/01/2024 22:45,52.5,0
01/01/2024 23:00,53.4,0
01/01/2024 23:15,49.8,0
01/01/2024 23:30,52.5,0
01/01/2024 23:45,50.7,0
02/01/2024 00:00,53.699,0
02/01/2024 00:15,51.301,0
02/01/2024 00:30,53.4,0
02/01/2024 00:45,52.199,0
02/01/2024 01:00,51.9,0
02/01/2024 01:15,51.301,0
02/01/2024 01:30,52.199,0
02/01/2024 01:45,53.1,0
02/01/2024 02:00,52.501,0
02/01/2024 02:15,53.7,0
02/01/2024 02:30,52.8,0
02/01/2024 02:45,53.7,0
02/01/2024 03:00,52.5,0
02/01/2024 03:15,53.7,0
02/01/2024 03:30,52.2,0
02/01/2024 03:45,53.999,0
02/01/2024 04:00,51.9,0
02/01/2024 04:15,61.5,0
02/01/2024 04:30,58.5,0
02/01/2024 04:45,53.7,0
02/01/2024 05:00,58.2,0
02/01/2024 05:15,57.3,0
02/01/2024 05:30,56.7,0
02/01/2024 05:45,65.101,0
02/01/2024 06:00,78.9,0
02/01/2024 06:15,71.1,0
02/01/2024 06:30,69.3,0
02/01/2024 06:45,72.899,0
02/01/2024 07:00,69.9,0
02/01/2024 07:15,74.1,0
02/01/2024 07:30,72.899,0
02/01/2024 07:45,72.6,0
02/01/2024 08:00,68.7,0
02/01/2024 08:15,70.2,0
02/01/2024 08:30,70.8,0
02/01/2024 08:45,69.6,0
02/01/2024 09:00,65.1,0
02/01/2024 09:15,45.9,0
02/01/2024 09:30,48.9,0
02/01/2024 09:45,61.8,0
02/01/2024 10:00,68.4,0
02/01/2024 10:15,59.7,0
02/01/2024 10:30,66.6,0
02/01/2024 10:45,65.1,0
02/01/2024 11:00,50.7,0
02/01/2024 11:15,38.7,0
02/01/2024 11:30,43.2,0
02/01/2024 11:45,47.1,0
02/01/2024 12:00,35.7,0
02/01/2024 12:15,50.1,0
02/01/2024 12:30,50.1,0
02/01/2024 12:45,56.1,0
02/01/2024 13:00,53.7,0
02/01/2024 13:15,38.7,0
02/01/2024 13:30,35.7,0
02/01/2024 13:45,32.7,0
02/01/2024 14:00,31.5,0
02/01/2024 14:15,45.9,0
02/01/2024 14:30,45.3,0
02/01/2024 14:45,47.1,0
02/01/2024 15:00,45.9,0
02/01/2024 15:15,45.9,0
02/01/2024 15:30,47.4,0
02/01/2024 15:45,47.4,0
02/01/2024 16:00,47.4,0
02/01/2024 16:15,46.5,0
02/01/2024 16:30,48.9,0
02/01/2024 16:45,47.7,0
02/01/2024 17:00,46.2,0
02/01/2024 17:15,45.3,0
02/01/2024 17:30,46.5,0
02/01/2024 17:45,46.5,0
02/01/2024 18:00,44.7,0
